Year,Wind_Energy,Hydro_Energy,Solar_Energy,Other_Energy
2000,31.16,2625.18,1.08,216.98
2001,38.17,2564.48,1.35,210.89
2002,52.06,2603.17,1.69,225.23
2003,63.44,2606.15,2.07,238.93
2004,85.27,2798.14,2.71,256.84
2005,103.9,2902.91,3.78,280.74
2006,132.8,3005.2,5.11,297.06
2007,170.93,3049.54,6.94,321.12
2008,220.09,3230.7,11.38,336.83
2009,275.9,3232.81,19.21,364.06
2010,346.22,3409.23,31.08,408.99
2011,439.9,3476.16,61.93,430.05
2012,528.9,3641.36,95.43,459.53
2013,640.06,3768.39,131.45,496.04
2014,716.8,3860.08,195.9,535.87
2015,829.08,3869.91,254.23,568.05
2016,959.41,3999.9,328.48,581.32
2017,1136.94,4049.15,443.29,608.88
2018,1268.43,4170.02,567.8,654.58
2019,1420.08,4219.16,694.5,688.92
2020,1586.94,4311.81,834.63,712.9
