Country,Energy
Afghanistan,0.66
Albania,5.31
Algeria,0.78
Andorra,10.35
Angola,0.01
Antigua and Barbuda,35.45
Argentina,1.8
Armenia,59.7
Australia,55.42
Austria,1.22
Azerbaijan,0
Bahamas,0.01
Bahrain,1.07
Bangladesh,0.04
Barbados,1.26
Belarus,23.41
Belgium,0.25
Belize,0.01
Benin,8.95
Bhutan,3.76
Bolivia,6.43
Bosnia and Herzegovina,0
Botswana,528.22
Brazil,0
Brunei,7.48
Bulgaria,0.16
Burkina Faso,0.24
Burma,3.92
Burundi,5.9
Cabo Verde,433.63
Cambodia,0.15
Cameroon,0.01
Canada,35.7
Central African Republic,2185.13
Chad,47.35
Chile,0
China,1.15
Colombia,11.52
Comoros,8.55
Congo (Kinshasa),2.93
Costa Rica,0.6
Cote d'Ivoire,10.34
Croatia,23.45
Cuba,0
Cyprus,0.04
Czechia,1.28
Denmark,26.2
Djibouti,17.59
Dominica,4.64
Dominican Republic,0.12
Ecuador,0.03
Egypt,2.84
El Salvador,0.62
Equatorial Guinea,14.14
Eritrea,0.66
Estonia,35.61
Eswatini,124.71
Ethiopia,1.76
Fiji,0
Finland,8.34
France,250.15
Gabon,7.3
Gambia,17.51
Georgia,0
Germany,8.53
Ghana,2.49
Greece,0
Grenada,0.16
Guatemala,0.13
Guinea,5.87
Guinea-Bissau,5.52
Guyana,19.13
Haiti,314.85
Holy See,35.85
Honduras,28.72
Hungary,1.86
Iceland,13.48
India,4.42
Indonesia,116.9
Iran,0.61
Iraq,231.44
Ireland,3.17
Israel,13.52
Italy,9.9
Jamaica,0
Japan,0.36
Jordan,0.06
Kazakhstan,14.8
Kenya,19.46
"Korea, South",3.64
Kosovo,1.13
Kuwait,0.5
Kyrgyzstan,0.53
Laos,0.01
Latvia,2.57
Lebanon,0.97
Lesotho,0.83
Liberia,1.37
Libya,18.58
Liechtenstein,0
Lithuania,1.17
Luxembourg,0.22
Madagascar,0.47
Malawi,0.6
Malaysia,72.76
Maldives,0.26
Mali,0.73
Malta,1.77
Mauritania,6.56
Mauritius,14.35
Mexico,11.34
Moldova,1
Monaco,0
Mongolia,3.09
Montenegro,33.01
Morocco,35.25
Mozambique,2.63
Namibia,0.02
Nepal,6.16
Netherlands,12.22
New Zealand,1.48
Nicaragua,151.11
Niger,0
Nigeria,43.06
North Macedonia,0
Norway,8.33
Oman,0.88
Pakistan,49.34
Panama,32.18
Papua New Guinea,22.8
Paraguay,28.23
Peru,30.11
Philippines,0.04
Poland,24.61
Portugal,199.9
Qatar,0.51
Romania,0.01
Russia,0
Rwanda,0.04
Saint Kitts and Nevis,0.05
Saint Lucia,0.01
Saint Vincent and the Grenadines,1.04
San Marino,0.73
Sao Tome and Principe,10.21
Saudi Arabia,0
Senegal,0.19
Serbia,1.03
Seychelles,6.94
Sierra Leone,5.58
Singapore,0
Slovakia,0.02
Slovenia,15.62
Somalia,48.92
South Africa,0
South Sudan,113.79
Spain,5.61
Sri Lanka,8.48
Sudan,1.37
Suriname,112.15
Sweden,43.49
Switzerland,0.76
Syria,16.65
Taiwan,17
Tajikistan,3.01
Tanzania,26.16
Thailand,0.09
Timor-Leste,0
Togo,0.02
Trinidad and Tobago,0.81
Tunisia,128.34
Turkey,0
Uganda,4.38
Ukraine,17.56
United Arab Emirates,3.79
United Kingdom,131.95
Uruguay,819.2
United States of America,10.73
Uzbekistan,6.91
Venezuela,0.02
Vietnam,72.1
West Bank and Gaza,57.6
Western Sahara,0.5
Yemen,13.98
Zambia,7.65
Zimbabwe,0
